YEAR,MONTH,PROV_ID,PROV_T,MinRain,MaxRain,AvgRain
2018,4,72,สุพรรณบุรี,59.90999985,129.5500031,94.73000148
2018,4,73,นครปฐม,31.21999931,225.2400055,128.2300024
2018,4,74,สมุทรสาคร,130.9799957,246.9100037,188.9449997
2018,4,75,สมุทรสงคราม,121.9800034,138.9900055,130.4850045
2018,4,76,เพชรบุรี,121.5500031,198.9400024,160.2450028
2018,4,77,ประจวบคีรีขันธ์,124.0100021,223.7799988,173.8950005
2018,4,80,นครศรีธรรมราช,59.13999939,164.8300018,111.9850006
2018,4,81,กระบี่,99.04000092,188.4700012,143.7550011
2018,4,82,พังงา,91.86000061,322.5499878,207.2049942
2018,4,83,ภูเก็ต,62.25999832,138.1799927,100.2199955
2018,4,84,สุราษฎร์ธานี,111.4100037,256.4299927,183.9199982
2018,4,85,ระนอง,198.0099945,233.9400024,215.9749985
2018,4,86,ชุมพร,200.0899963,265.2999878,232.6949921
2018,4,90,สงขลา,41.86999893,195.5800018,118.7250004
2018,4,91,สตูล,91.51000214,134.9600067,113.2350044
2018,4,92,ตรัง,84.25,116.7900009,100.5200005
2018,4,93,พัทลุง,37.43000031,103.3300018,70.38000106
2018,4,94,ปัตตานี,81.41000366,255.7299957,168.5699997
2018,4,95,ยะลา,137.9499969,269.8800049,203.9150009
2018,4,96,นราธิวาส,84.30999756,213.8999939,149.1049957
2018,5,10,กรุงเทพมหานคร,73.45999908,253.9600067,163.7100029
2018,5,11,สมุทรปราการ,92.16999817,160.2899933,126.2299957
2018,5,12,นนทบุรี,117.8199997,240.8099976,179.3149987
2018,5,13,ปทุมธานี,166.8399963,287.8299866,227.3349915
2018,5,14,พระนครศรีอยุธยา,130.5899963,287.019989,208.8049927
2018,5,15,อ่างทอง,144.2100067,181.0800018,162.6450043
2018,5,16,ลพบุรี,118.5699997,242.3600006,180.4650002
2018,5,17,สิงห์บุรี,136.8899994,177.6799927,157.2849961
2018,5,18,ชัยนาท,129.0099945,185.7799988,157.3949967
2018,5,19,สระบุรี,133.6399994,322.9299927,228.2849961
2018,5,20,ชลบุรี,37.04000092,308.0799866,172.5599938
2018,5,21,ระยอง,101.8199997,414.75,258.2849999
2018,5,22,จันทบุรี,140.5599976,248.4400024,194.5
2018,5,23,ตราด,182.4799957,264.7999878,223.6399918
2018,5,24,ฉะเชิงเทรา,116.7900009,342.6199951,229.704998
2018,5,25,ปราจีนบุรี,78.01000214,237.6999969,157.8549995
2018,5,26,นครนายก,85.69000244,299.4400024,192.5650024
2018,5,27,สระแก้ว,120.7099991,177.0099945,148.8599968
2018,5,30,นครราชสีมา,118.25,343.6499939,230.949997
2018,5,31,บุรีรัมย์,136.4299927,212.3500061,174.3899994
2018,5,32,สุรินทร์,163.4600067,231.9900055,197.7250061
2018,5,33,ศรีสะเกษ,154,208.8600006,181.4300003
2018,5,34,อุบลราชธานี,164.5399933,183.0800018,173.8099976
2018,5,35,ยโสธร,164.9600067,214.3000031,189.6300049
2018,5,36,ชัยภูมิ,132.2700043,246.2899933,189.2799988
2018,5,37,อำนาจเจริญ,171.0399933,191.2200012,181.1299973
2018,5,38,บึงกาฬ,178.2299957,238.8899994,208.5599976
2018,5,39,หนองบัวลำภู,217.7899933,289.480011,253.6350022
2018,5,40,ขอนแก่น,172.1600037,253.9799957,213.0699997
2018,5,41,อุดรธานี,168.8200073,286.0400085,227.4300079
2018,5,42,เลย,114.5999985,248.5599976,181.5799981
2018,5,43,หนองคาย,228.5399933,264.7000122,246.6200028
2018,5,44,มหาสารคาม,180.6199951,232.2400055,206.4300003
2018,5,45,ร้อยเอ็ด,175.5399933,256.0700073,215.8050003
2018,5,46,กาฬสินธุ์,154.3200073,219.2100067,186.765007
2018,5,47,สกลนคร,133.5899963,230.5299988,182.0599976
2018,5,48,นครพนม,154.6999969,195.2899933,174.9949951
2018,5,49,มุกดาหาร,158.5,188.8699951,173.6849976
2018,5,50,เชียงใหม่,184.3099976,434.5899963,309.449997
2018,5,51,ลำพูน,206.4400024,265.5799866,236.0099945
2018,5,52,ลำปาง,179.0099945,370.7399902,274.8749924
2018,5,53,อุตรดิตถ์,135.8200073,280.3500061,208.0850067
2018,5,54,แพร่,126.0100021,238.5899963,182.2999992
2018,5,55,น่าน,92.20999908,253.3800049,172.795002
2018,5,56,พะเยา,156.9900055,376.6099854,266.7999955
2018,5,57,เชียงราย,267.7000122,515.5300293,391.6150208
2018,5,58,แม่ฮ่องสอน,156.1999969,291.0700073,223.6350021
2018,5,60,นครสวรรค์,113.9000015,178.7899933,146.3449974
2018,5,61,อุทัยธานี,146.8300018,190.7700043,168.8000031
2018,5,62,กำแพงเพชร,129.5099945,207.8300018,168.6699982
2018,5,63,ตาก,97.73999786,281.75,189.7449989
2018,5,64,สุโขทัย,112.0299988,257.2600098,184.6450043
2018,5,65,พิษณุโลก,114.9700012,273.1600037,194.0650025
2018,5,66,พิจิตร,94.62000275,195.7400055,145.1800041
2018,5,67,เพชรบูรณ์,84.83000183,197.5599976,141.1949997
2018,5,70,ราชบุรี,112.75,206.9299927,159.8399964
2018,5,71,กาญจนบุรี,141.6999969,200.5200043,171.1100006
2018,5,72,สุพรรณบุรี,137.7200012,195.9799957,166.8499985
2018,5,73,นครปฐม,111.0400009,220.4799957,165.7599983
2018,5,74,สมุทรสาคร,95.55999756,130.0500031,112.8050003
2018,5,75,สมุทรสงคราม,108.0100021,122.5599976,115.2849999
2018,5,76,เพชรบุรี,57.40999985,257.7600098,157.5850048
2018,5,77,ประจวบคีรีขันธ์,76.70999908,260.8099976,168.7599983
2018,5,80,นครศรีธรรมราช,109.5400009,313.7999878,211.6699944
2018,5,81,กระบี่,208.8200073,296.6900024,252.7550049
2018,5,82,พังงา,260.7200012,438.3500061,349.5350037
